surveywave,id_state,id_school,id_teacher,treatment,strata,weight_school,fpc_school,ht01,ht04,ht09,ht10,ht11,ht12,ht13_01,ht13_02,ht13_03,ht13_04,ht13_05,ht13_06,ht13_07,ht13_08,ht13_09,ht13_10,ht13_11,ht13_othqual,ht13_oth,ht13_dkr,ht14,ht15,ht16,ht17_01,ht17_02,ht17_03,ht17_04,ht17_05,ht17_06,ht17_07,ht17_08,ht17_09,ht17_10,ht17_11,ht17_othrea,ht17_oth,ht18,ht19_01,ht19_02,ht19_03,ht19_04,ht19_05,ht19_06,ht19_07,ht19_08,ht19_09,ht19_10,ht19_11,ht19_othrea,ht19_oth,ht20,ht21a_01_month,ht21a_02_month,ht21a_03_month,ht21a_04_month,ht21a_05_month,ht21a_06_month,ht21a_07_month,ht21a_08_month,ht21a_09_month,ht21a_10_month,ht21a_01_year,ht21a_02_year,ht21a_03_year,ht21a_04_year,ht21a_05_year,ht21a_06_year,ht21a_07_year,ht21a_08_year,ht21a_09_year,ht21a_10_year,ht21b_01_01,ht21b_01_02,ht21b_01_03,ht21b_01_04,ht21b_01_05,ht21b_01_06,ht21b_01_07,ht21b_01_othtop,ht21b_01_oth,ht21b_01_dkr,ht21b_02_01,ht21b_02_02,ht21b_02_03,ht21b_02_04,ht21b_02_05,ht21b_02_06,ht21b_02_07,ht21b_02_othtop,ht21b_02_oth,ht21b_02_dkr,ht21b_03_01,ht21b_03_02,ht21b_03_03,ht21b_03_04,ht21b_03_05,ht21b_03_06,ht21b_03_07,ht21b_03_othtop,ht21b_03_oth,ht21b_03_dkr,ht21b_04_01,ht21b_04_02,ht21b_04_03,ht21b_04_04,ht21b_04_05,ht21b_04_06,ht21b_04_07,ht21b_04_othtop,ht21b_04_oth,ht21b_04_dkr,ht21b_05_01,ht21b_05_02,ht21b_05_03,ht21b_05_04,ht21b_05_05,ht21b_05_06,ht21b_05_07,ht21b_05_othtop,ht21b_05_oth,ht21b_05_dkr,ht21b_06_01,ht21b_06_02,ht21b_06_03,ht21b_06_04,ht21b_06_05,ht21b_06_06,ht21b_06_07,ht21b_06_othtop,ht21b_06_oth,ht21b_06_dkr,ht21b_07_01,ht21b_07_02,ht21b_07_03,ht21b_07_04,ht21b_07_05,ht21b_07_06,ht21b_07_07,ht21b_07_othtop,ht21b_07_oth,ht21b_07_dkr,ht21b_08_01,ht21b_08_02,ht21b_08_03,ht21b_08_04,ht21b_08_05,ht21b_08_06,ht21b_08_07,ht21b_08_othtop,ht21b_08_oth,ht21b_08_dkr,ht21b_09_01,ht21b_09_02,ht21b_09_03,ht21b_09_04,ht21b_09_05,ht21b_09_06,ht21b_09_07,ht21b_09_othtop,ht21b_09_oth,ht21b_09_dkr,ht21b_10_01,ht21b_10_02,ht21b_10_03,ht21b_10_04,ht21b_10_05,ht21b_10_06,ht21b_10_07,ht21b_10_othtop,ht21b_10_oth,ht21b_10_dkr,ht21c_01_01,ht21c_01_02,ht21c_01_03,ht21c_01_04,ht21c_01_05,ht21c_01_06,ht21c_01_07,ht21c_01_08,ht21c_01_09,ht21c_01_10,ht21c_01_othorg,ht21c_01_oth,ht21c_01_dkr,ht21c_02_01,ht21c_02_02,ht21c_02_03,ht21c_02_04,ht21c_02_05,ht21c_02_06,ht21c_02_07,ht21c_02_08,ht21c_02_09,ht21c_02_10,ht21c_02_othorg,ht21c_02_oth,ht21c_02_dkr,ht21c_03_01,ht21c_03_02,ht21c_03_03,ht21c_03_04,ht21c_03_05,ht21c_03_06,ht21c_03_07,ht21c_03_08,ht21c_03_09,ht21c_03_10,ht21c_03_othorg,ht21c_03_oth,ht21c_03_dkr,ht21c_04_01,ht21c_04_02,ht21c_04_03,ht21c_04_04,ht21c_04_05,ht21c_04_06,ht21c_04_07,ht21c_04_08,ht21c_04_09,ht21c_04_10,ht21c_04_othorg,ht21c_04_oth,ht21c_04_dkr,ht21c_05_01,ht21c_05_02,ht21c_05_03,ht21c_05_04,ht21c_05_05,ht21c_05_06,ht21c_05_07,ht21c_05_08,ht21c_05_09,ht21c_05_10,ht21c_05_othorg,ht21c_05_oth,ht21c_05_dkr,ht21c_06_01,ht21c_06_02,ht21c_06_03,ht21c_06_04,ht21c_06_05,ht21c_06_06,ht21c_06_07,ht21c_06_08,ht21c_06_09,ht21c_06_10,ht21c_06_othorg,ht21c_06_oth,ht21c_06_dkr,ht21c_07_01,ht21c_07_02,ht21c_07_03,ht21c_07_04,ht21c_07_05,ht21c_07_06,ht21c_07_07,ht21c_07_08,ht21c_07_09,ht21c_07_10,ht21c_07_othorg,ht21c_07_oth,ht21c_07_dkr,ht21c_08_01,ht21c_08_02,ht21c_08_03,ht21c_08_04,ht21c_08_05,ht21c_08_06,ht21c_08_07,ht21c_08_08,ht21c_08_09,ht21c_08_10,ht21c_08_othorg,ht21c_08_oth,ht21c_08_dkr,ht21c_09_01,ht21c_09_02,ht21c_09_03,ht21c_09_04,ht21c_09_05,ht21c_09_06,ht21c_09_07,ht21c_09_08,ht21c_09_09,ht21c_09_10,ht21c_09_othorg,ht21c_09_oth,ht21c_09_dkr,ht21c_10_01,ht21c_10_02,ht21c_10_03,ht21c_10_04,ht21c_10_05,ht21c_10_06,ht21c_10_07,ht21c_10_08,ht21c_10_09,ht21c_10_10,ht21c_10_othorg,ht21c_10_oth,ht21c_10_dkr,ht21d_01,ht21d_01_oth,ht21d_02,ht21d_02_oth,ht21d_03,ht21d_03_oth,ht21d_04,ht21d_04_oth,ht21d_05,ht21d_05_oth,ht21d_06,ht21d_06_oth,ht21d_07,ht21d_07_oth,ht21d_08,ht21d_08_oth,ht21d_09,ht21d_09_oth,ht21d_10,ht21d_10_oth,ht21e_01,ht21e_02,ht21e_03,ht21e_04,ht21e_05,ht21e_06,ht21e_07,ht21e_08,ht21e_09,ht21e_10,ht22_01,ht22_02,ht22_03,ht22_04,ht22_05,ht22_06,ht22_07,ht22_08,ht22_09,ht22_10,ht22_11,ht22_12,ht22_13,ht22_othiss,ht22_oth,ht23,ht24_01,ht24_02,ht24_03,ht24_04,ht24_05,ht24_06,ht24_07,ht24_08,ht24_othact,ht24_oth,ht24_dkr,ht25,ht26,ht27_01,ht27_02,ht27_03,ht27_04,ht27_05,ht27_06,ht27_07,ht27_08,ht27_09,ht27_10,ht27_othtop,ht27_oth,ht27_dkr,ht28_01,ht28_02,ht28_03,ht28_04,ht28_05,ht28_06,ht28_07,ht28_08,ht28_09,ht28_10,ht28_11,ht28_12,ht28_13,ht28_14,ht28_15,ht28_16,ht28_othiss,ht28_oth,ht29,ht30_01,ht30_02,ht30_03,ht30_04,ht30_05,ht30_06,ht30_07,ht30_08,ht30_othact,ht30_oth,ht31,ht32,ht33,ht34_01_date,ht34_01_num,ht34_02_date,ht34_02_num,ht34_03_date,ht34_03_num,ht34_04_date,ht34_04_num,ht34_05_date,ht34_05_num,ht35,ht36,ht37_01,ht37_02,ht37_03,ht37_04,ht37_05,ht37_06,ht38_01,ht38_02,ht38_03,ht38_04,ht38_05,ht38_06,ht38_07,ht38_08,ht38_09,ht38_10,ht38_11,ht38_12,ht38_othsub,ht38_oth,ht39,ht40,ht41,ht42,ht43,ht44,ht45,ht46,ht47,ht48,ht49,ht50,ht51,ht52,ht53,ht54,ht55,ht56,ht57,ht58,ht59,ht60,ht61,ht62,ht63,ht64,ht65_01,ht65_02,ht65_03,ht65_04,ht65_05,ht65_06,ht65_07,ht65_othorg,ht65_oth,ht66,ht67,ht68_01,ht68_02,ht68_03,ht68_04,ht68_05,ht68_06,ht68_othrep,ht68_oth,ht69,ht70,ht71,ht72,ht73_01,ht73_02,ht73_03,ht73_04,ht73_05,ht73_06,ht73_07,ht73_08,ht73_09,ht73_10,ht73_11,ht73_12,ht73_13,ht73_othuse,ht73_oth,n_ptr,n_tchabsenteeism_sr
Round 1 Baseline,Jigawa,1,Head Teacher,Treatment,111,3,.3333333333333333,Head Teacher,Male,44,11,2013,2003,No,No,Yes,No,Yes,No,No,No,No,No,No,No,,No,83000,Always on time,1,No,No,No,No,No,No,Yes,No,No,No,No,No,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,,Yes,Don't know,July,,,,,,,,,2013,2014,,,,,,,,,Yes,No,No,No,No,No,No,No,,No,No,No,No,No,No,Yes,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,No,No,No,No,No,No,No,,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSIT/SSOs/SMOs/SIOs,,SSIT/SSOs/SMOs/SIOs,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,Yes,No,Yes,No,No,No,No,No,No,No,,No,Yes,More than once a week,No,No,No,No,No,No,No,No,No,Yes,No,,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,,Yes,Yes,No,No,Yes,No,No,No,No,No,,26,1566,Yes,20141107,3,20141106,0,20141105,0,20141104,0,20141103,0,Two or three times a month,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Strongly agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Refusal,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Strongly agree,Agree,Agree,Disagree,Yes,No,No,No,Yes,No,No,No,Yes,TDP AND Maranda,No supply,Yes,No,No,Yes,No,No,Yes,Yes,Chairs and water shortage,Yes,The last term of the previous school year,Yes,"Yes, both audio and video",Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,,60.23077011108398,2.307692289352417
Round 1 Baseline,Jigawa,4,Head Teacher,Treatment,111,3,.3333333333333333,Assistant Head Teacher,Male,48,28,,,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,36000,Always on time,0,,,,,,,,,,,,,,No,,,,,,,,,,,,,,Yes,Don't know,,,,,,,,,,2014,,,,,,,,,,Yes,No,No,No,No,Yes,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LGEA,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,No,No,Yes,No,No,No,No,No,,No,Yes,More than once a day,Yes,Yes,No,No,No,No,No,No,No,Yes,No,,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,,Yes,Yes,No,Yes,No,No,No,No,No,No,,7,270,Yes,20141107,0,20141106,0,20141105,0,20141104,0,20141103,0,Two or three times a month,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,No supply,Yes,Yes,Yes,No,Yes,No,No,No,,Yes,This term or during the preceding vacation,No,,,,,,,,,,,,,,,,,38.57143020629883,0
Round 1 Baseline,Jigawa,8,Head Teacher,Treatment,111,3,.3333333333333333,Head Teacher,Male,38,13,2013,2002,No,No,Yes,No,Yes,No,No,No,No,No,No,No,,No,Don't know,Always on time,0,,,,,,,,,,,,,,No,,,,,,,,,,,,,,Yes,Don't know,Don't know,,,,,,,,,2014,2014,,,,,,,,,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,Yes,TDP Programme,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,Yes,No,No,No,No,No,No,,No,No,Yes,No,No,Yes,No,No,No,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSIT/SSOs/SMOs/SIOs,,Other SUBEB staff,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,,Yes,Yes,Yes,No,No,No,No,No,No,No,,No,Yes,Once a month,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,,Yes,No,Yes,Yes,Yes,No,No,No,No,No,,4,326,Yes,20141107,0,20141106,0,20141105,1,20141104,1,20141103,0,At least once a year but no more than once a month,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,,Strongly agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Yes,No,No,No,Yes,No,Yes,No,Yes,SBMC,No supply,Yes,Yes,Yes,No,No,Yes,Yes,No,,Yes,This term or during the preceding vacation,Yes,"Yes, both audio and video",Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,,81.5,10
Round 1 Baseline,Jigawa,11,Head Teacher,Treatment,111,3,.3333333333333333,Head Teacher,Male,46,19,2012,2005,No,No,No,No,Yes,No,No,No,No,No,No,No,,No,Don't know,Always on time,0,,,,,,,,,,,,,,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,,Yes,Don't know,Don't know,Don't know,,,,,,,,2013,2013,2013,,,,,,,,No,No,No,No,Yes,No,No,No,,No,No,No,No,No,No,No,No,Yes,lesson plan,No,No,Yes,No,No,No,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,No,No,No,No,No,No,No,,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSIT/SSOs/SMOs/SIOs,,SSIT/SSOs/SMOs/SIOs,,SSIT/SSOs/SMOs/SIOs,,,,,,,,,,,,,,,,3,4,3,,,,,,,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,Yes,Yes,No,No,No,No,No,No,No,Yes,provide games materials,No,Yes,Never,,,,,,,,,,,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,Yes,No,No,No,No,No,,3,135,Yes,20141107,0,20141106,0,20141105,0,20141104,0,20141103,0,At least once a year but no more than once a month,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Yes,No,No,No,No,No,No,No,Yes,SBMC,No supply,Yes,No,Yes,No,No,No,No,Yes,Flooring,Yes,This term or during the preceding vacation,Yes,"Yes, both audio and video",Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,45,0
Round 1 Baseline,Jigawa,20,Head Teacher,Control,110,3,.3333333333333333,Head Teacher,Male,44,29,2001,1989,No,No,No,No,Yes,No,No,No,No,No,No,No,,No,71586,Always on time,0,,,,,,,,,,,,,,No,,,,,,,,,,,,,,Yes,March,,,,,,,,,,2014,,,,,,,,,,No,No,No,No,Yes,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,Yes,No,No,No,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSIT/SSOs/SMOs/SIOs,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,No,No,No,No,No,No,,No,Yes,Daily,Yes,Yes,No,No,No,No,No,No,No,Yes,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,,Yes,No,No,No,Yes,No,No,No,No,No,,4,232,Yes,20141110,0,20141107,0,20141106,0,20141105,0,20141104,0,Two or three times a month,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,No,Yes,No,No,,No supply,Yes,Yes,Yes,No,No,No,No,Yes,Flooring,Yes,This term or during the preceding vacation,Yes,"Yes, both audio and video",Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,58,0
Round 1 Baseline,Jigawa,21,Head Teacher,Control,110,3,.3333333333333333,Head Teacher,Male,49,28,1999,1999,No,No,Yes,No,Yes,No,No,No,No,No,No,No,,No,Don't know,Always on time,0,,,,,,,,,,,,,,No,,,,,,,,,,,,,,Yes,May,June,,,,,,,,,2014,2013,,,,,,,,,No,No,No,No,Yes,No,No,No,,No,No,Yes,No,No,No,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,Yes,No,No,No,No,No,No,,No,No,Yes,No,No,Yes,No,No,No,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSIT/SSOs/SMOs/SIOs,,SSIT/SSOs/SMOs/SIOs,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,,Yes,Yes,Yes,No,No,No,No,No,No,No,,No,Yes,More than once a month,No,Yes,No,No,No,Yes,No,Yes,No,No,No,,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,Yes,No,No,No,No,No,,2,165,Yes,20141110,0,20141107,0,20141106,0,20141105,0,20141104,0,At least once a year but no more than once a month,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Yes,No,No,No,Yes,No,No,No,No,,No supply,Yes,Yes,Yes,No,No,Yes,No,No,,Yes,This term or during the preceding vacation,Yes,"Yes, both audio and video",Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,,82.5,0
Round 1 Baseline,Jigawa,23,Head Teacher,Control,110,3,.3333333333333333,Head Teacher,Male,51,31,2012,1997,No,No,Yes,Yes,No,No,No,No,No,No,No,No,,No,66000,Always on time,0,,,,,,,,,,,,,,No,,,,,,,,,,,,,,Yes,July,May,April,,,,,,,,2014,2014,2014,,,,,,,,No,Yes,No,No,No,No,No,No,,No,No,Yes,No,No,No,No,No,No,,No,No,Yes,No,No,No,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,No,No,No,No,No,No,No,,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LGEA,,LGEA,,LGEA,,,,,,,,,,,,,,,,2,4,1,,,,,,,,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,Yes,No,Yes,No,No,No,No,No,No,No,,No,Yes,More than once a week,Yes,No,No,Yes,No,No,No,No,No,No,No,,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,Yes,No,No,No,No,No,,2,147,Yes,20141109,0,20141107,2,20141106,0,20141105,2,20141104,0,Two or three times a month,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,,Strongly agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Strongly agree,Disagree,Agree,Strongly agree,Disagree,Agree,Disagree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Disagree,Agree,Disagree,Strongly disagree,Yes,No,No,No,Yes,No,No,No,No,,No supply,Yes,Yes,Yes,Yes,No,No,Yes,No,,Yes,The last term of the previous school year,Yes,"Yes, both audio and video",Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,,73.5,40
Round 1 Baseline,Jigawa,24,Head Teacher,Control,110,3,.3333333333333333,Head Teacher,Male,55,31,2013,1996,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,Don't know,Always on time,1,No,No,No,No,No,Yes,No,No,No,No,No,No,,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,,Yes,January,February,April,June,,,,,,,2014,2014,2014,2014,,,,,,,No,No,No,No,Yes,No,No,No,,No,No,No,No,No,No,Yes,No,No,,No,No,No,No,No,Yes,No,No,No,,No,No,No,No,No,No,No,No,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,No,No,No,No,No,No,No,,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSIT/SSOs/SMOs/SIOs,,SSIT/SSOs/SMOs/SIOs,,SSIT/SSOs/SMOs/SIOs,,SSIT/SSOs/SMOs/SIOs,,,,,,,,,,,,,,3,4,2,3,,,,,,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,Yes,Yes,No,No,No,No,No,No,No,No,,No,Yes,Once a month,No,Yes,No,No,No,Yes,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,influential status and politic,No,,,,,,,,,,,2,199,Yes,20141110,0,20141107,1,20141106,0,20141105,0,20141104,0,Two or three times a month,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Agree,Disagree,Strongly agree,Disagree,Disagree,Yes,No,No,No,No,No,Yes,No,No,,No supply,Yes,Yes,No,No,No,No,No,No,,Yes,This term or during the preceding vacation,Yes,"Yes, both audio and video",Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,,99.5,10
Round 1 Baseline,Jigawa,25,Head Teacher,Treatment,121,3,.3333333333333333,Head Teacher,Male,47,27,2013,1992,No,No,Yes,No,Yes,No,No,No,No,No,No,No,,No,82000,Always on time,0,,,,,,,,,,,,,,No,,,,,,,,,,,,,,Yes,Don't know,,,,,,,,,,2014,,,,,,,,,,No,Yes,No,No,No,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,No,No,No,No,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LGEA,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,Yes,No,No,Yes,Yes,No,No,No,No,No,,No,Yes,Once a month,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,,,,,,,,,,,20,1911,Yes,20141030,0,20141029,5,20141027,4,20141026,4,20141022,3,More than three times a month,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,Yes,SBMC,"Yes, regular supply",Yes,Yes,No,Yes,No,No,No,No,,Yes,The last term of the previous school year,Yes,"Yes, both audio and video",Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,,95.55000305175781,16
Round 1 Baseline,Jigawa,26,Head Teacher,Treatment,121,3,.3333333333333333,Head Teacher,Male,52,33,2004,1990,No,No,No,No,Yes,No,No,No,No,No,No,No,,No,83000,Always on time,0,,,,,,,,,,,,,,No,,,,,,,,,,,,,,Yes,June,,,,,,,,,,2014,,,,,,,,,,No,No,No,No,No,Yes,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,Yes,No,No,No,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other SUBEB staff,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Long Distance,Yes,Yes,Yes,No,No,No,No,No,No,No,,No,Yes,More than once a day,No,Yes,No,No,No,No,No,No,No,Yes,No,,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,No,No,No,No,No,No,No,No,,17,1489,Yes,20141030,0,20141029,0,20141028,0,20141027,0,20141026,0,Two or three times a month,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,No,No,No,Yes,No,No,,No supply,Yes,No,No,No,No,No,No,Yes,Need additional classes,Yes,This term or during the preceding vacation,Yes,"Yes, audio",Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,87.58823394775391,0
