surveywave,id_state,id_school,id_teacher,treatment,strata,weight_lo,fpc_school,a_3,b_3,c_3,d_3,a_6,b_6,c_6,d_6,a_9,b_9,c_9,d_9,a_12,b_12,c_12,d_12,a_15,b_15,c_15,d_15,a_18,b_18,c_18,d_18,a_21,b_21,c_21,d_21,a_24,b_24,c_24,d_24,a_27,b_27,c_27,d_27,a_30,b_30,c_30,d_30,a_33,b_33,c_33,d_33,a_36,b_36,c_36,d_36,c16,c17,c18,c19,c20,c21,c22,c23,c24,praise,reprimand,n_interval_time,n_ped_positive
Round 1 Baseline,Jigawa,1,1,Treatment,111,4,.3333333333333333,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,moves around among students,respond to closed question,None of the above,Teacher was silent,None of the above,None of the above,instructs / presents / dictates,Hausa,demonstrates / displays work,group or pair work,instructs / presents / dictates,Hausa,demonstrates / displays work,group or pair work,instructs / presents / dictates,Hausa,demonstrates / displays work,None of the above,open question / response,Hausa,demonstrates / displays work,respond to closed question,instructs / presents / dictates,English,writes on / reads from blackboard,None of the above,closed question / response,Hausa,moves around among students,respond to closed question,instructs / presents / dictates,Hausa,moves around among students,group or pair work,chants,English,demonstrates / displays work,respond to closed question,assists / group discussion,Hausa,moves around among students,group or pair work,Yes,55,,BCE,,,e,2,No,31,3,36,30.55555534362793
Round 1 Baseline,Jigawa,1,2,Treatment,111,4,.3333333333333333,Explains,English,demonstrates / displays work,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,closed question / response,English,moves around among students,respond to closed question,Explains,English,writes on / reads from blackboard,None of the above,Explains,Hausa,demonstrates / displays work,None of the above,instructs / presents / dictates,English,demonstrates / displays work,group discussion / presentation,,,,,,,,,,,,,,,,,,,,,,,,,,62,AB,ABC,,,e,3,No,3,5,18,44.4444465637207
Round 1 Baseline,Jigawa,1,3,Treatment,111,4,.3333333333333333,instructs / presents / dictates,Hausa,demonstrates / displays work,None of the above,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,assists / group discussion,Hausa,demonstrates / displays work,individual work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,D,BCE,,,c,1,No,2,6,9,33.33333206176758
Round 1 Baseline,Jigawa,1,4,Treatment,111,4,.3333333333333333,instructs / presents / dictates,Hausa,None of the above,None of the above,instructs / presents / dictates,Hausa,None of the above,respond to closed question,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,writes on / reads from blackboard,respond to closed question,closed question / response,English,moves around among students,respond to closed question,assists / group discussion,Hausa,demonstrates / displays work,individual work,assists / group discussion,Hausa,moves around among students,group or pair work,assists / group discussion,Hausa,moves around among students,group or pair work,assists / group discussion,Hausa,moves around among students,group or pair work,assists / group discussion,Hausa,moves around among students,group or pair work,,,,,,,,,,68,AB,BCE,,,c,2,No,10,13,30,35
Round 1 Baseline,Jigawa,4,2,Treatment,111,4.5,.3333333333333333,Explains,Hausa,writes on / reads from blackboard,None of the above,assists / group discussion,Hausa,moves around among students,group or pair work,instructs / presents / dictates,Hausa,writes on / reads from blackboard,group or pair work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,D,BC,,,c,1,Yes,3,,9,38.88888931274414
Round 1 Baseline,Jigawa,4,3,Treatment,111,4.5,.3333333333333333,Explains,Hausa,moves around among students,None of the above,Explains,Hausa,demonstrates / displays work,None of the above,Explains,Hausa,writes on / reads from blackboard,group or pair work,None of the above,Hausa,writes on / reads from blackboard,None of the above,None of the above,Hausa,writes on / reads from blackboard,None of the above,closed question / response,Hausa,moves around among students,respond to closed question,assists / group discussion,Hausa,moves around among students,group or pair work,assists / group discussion,Hausa,moves around among students,group or pair work,instructs / presents / dictates,Hausa,moves around among students,individual work,,,,,,,,,,,,,,27,D,BC,,,c,2,No,6,1,27,37.03703689575195
Round 1 Baseline,Jigawa,4,4,Treatment,111,4.5,.3333333333333333,Explains,Hausa,moves around among students,None of the above,Explains,Hausa,uses textbook,None of the above,Explains,Hausa,moves around among students,None of the above,closed question / response,Hausa,uses textbook,respond to closed question,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,respond to closed question,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,respond to closed question,Explains,Hausa,writes on / reads from blackboard,respond to closed question,closed question / response,Hausa,moves around among students,respond to closed question,,,,,,,,,,27,A,ABC,,,c,4,No,6,1,30,31.66666793823242
Round 1 Baseline,Jigawa,8,1,Treatment,111,3,.3333333333333333,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,demonstrates / displays work,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,uses textbook,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,None of the above,None of the above,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,,,,,,,,,,,,,,,,,,20,A,ABCE,,,e,2,No,7,,24,35.41666412353516
Round 1 Baseline,Jigawa,8,2,Treatment,111,3,.3333333333333333,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,Explains,English,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,moves around among students,group or pair work,chants,English,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,None of the above,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,moves around among students,group or pair work,closed question / response,Hausa,moves around among students,None of the above,,,,,,21,A,ABC,,,e,1,No,10,,33,16.66666793823242
Round 1 Baseline,Jigawa,8,3,Treatment,111,3,.3333333333333333,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,None of the above,None of the above,assists / group discussion,Hausa,uses materials (printed/improvised),None of the above,instructs / presents / dictates,Hausa,moves around among students,group or pair work,closed question / response,Hausa,demonstrates / displays work,respond to open question,,,,,,,,,,,,,,,,,,,,,,32,AC,ABC,,,c,3,Yes,4,,21,21.42857170104981
Round 1 Baseline,Jigawa,8,4,Treatment,111,3,.3333333333333333,closed question / response,Hausa,None of the above,respond to open question,Explains,Hausa,writes on / reads from blackboard,None of the above,closed question / response,Hausa,None of the above,None of the above,None of the above,Teacher was silent,None of the above,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,33,A,BC,,,a,2,No,8,,18,16.66666603088379
