surveywave,id_state,id_school,id_teacher,treatment,strata,weight_tdna,fpc_school,n_tdna_math,n_tdna_eng,n_tdna_sci,n_tdna_progress
Round 1 Baseline,Jigawa,1,1,Treatment,111,3,.3333333333333333,20,11,22.5,10
Round 1 Baseline,Jigawa,1,2,Treatment,111,3,.3333333333333333,15,5,9.5,7
Round 1 Baseline,Jigawa,1,3,Treatment,111,3,.3333333333333333,7,4,7.5,3
Round 1 Baseline,Jigawa,1,4,Treatment,111,3,.3333333333333333,13,8,3.5,7
Round 1 Baseline,Jigawa,4,1,Treatment,111,3,.3333333333333333,4,0,.5,0
Round 1 Baseline,Jigawa,4,2,Treatment,111,3,.3333333333333333,8,7,3.5,0
Round 1 Baseline,Jigawa,4,3,Treatment,111,3,.3333333333333333,6,7,2.5,3
Round 1 Baseline,Jigawa,4,4,Treatment,111,3,.3333333333333333,12,6,4.5,3
Round 1 Baseline,Jigawa,8,1,Treatment,111,3,.3333333333333333,17,6,5,2
Round 1 Baseline,Jigawa,8,2,Treatment,111,3,.3333333333333333,13,6,4,0
Round 1 Baseline,Jigawa,8,3,Treatment,111,3,.3333333333333333,15,6,3,3
Round 1 Baseline,Jigawa,8,4,Treatment,111,3,.3333333333333333,15,7,3.5,3
Round 1 Baseline,Jigawa,11,1,Treatment,111,4,.3333333333333333,15,9,8,3
Round 1 Baseline,Jigawa,11,3,Treatment,111,4,.3333333333333333,13,8,6.5,2
Round 1 Baseline,Jigawa,11,4,Treatment,111,4,.3333333333333333,14,6,4.5,3
Round 1 Baseline,Jigawa,20,1,Control,110,3,.3333333333333333,9,7,5,0
Round 1 Baseline,Jigawa,20,2,Control,110,3,.3333333333333333,8,6,9.5,1
Round 1 Baseline,Jigawa,20,3,Control,110,3,.3333333333333333,4,9,5.5,0
Round 1 Baseline,Jigawa,20,4,Control,110,3,.3333333333333333,5,5,5.5,0
Round 1 Baseline,Jigawa,21,1,Control,110,6,.3333333333333333,7,9,4,3
Round 1 Baseline,Jigawa,21,2,Control,110,6,.3333333333333333,15,8,10.5,10
Round 1 Baseline,Jigawa,23,1,Control,110,6,.3333333333333333,9,10,10.5,0
Round 1 Baseline,Jigawa,23,2,Control,110,6,.3333333333333333,7,5,2,0
Round 1 Baseline,Jigawa,24,1,Control,110,6,.3333333333333333,15,11,9.5,5
Round 1 Baseline,Jigawa,24,2,Control,110,6,.3333333333333333,14,3,2,0
Round 1 Baseline,Jigawa,25,2,Treatment,121,4,.3333333333333333,12,1,4,4
Round 1 Baseline,Jigawa,25,3,Treatment,121,4,.3333333333333333,13,0,4,1
Round 1 Baseline,Jigawa,25,4,Treatment,121,4,.3333333333333333,6,7,7,3
Round 1 Baseline,Jigawa,26,1,Treatment,121,3,.3333333333333333,7,8,11,3
Round 1 Baseline,Jigawa,26,2,Treatment,121,3,.3333333333333333,15,9,1,0
Round 1 Baseline,Jigawa,26,3,Treatment,121,3,.3333333333333333,17,9,2,7
Round 1 Baseline,Jigawa,26,4,Treatment,121,3,.3333333333333333,11,8,5,1
Round 1 Baseline,Jigawa,33,1,Treatment,121,3,.3333333333333333,17,11,19,18
Round 1 Baseline,Jigawa,33,2,Treatment,121,3,.3333333333333333,18,13,8,21
Round 1 Baseline,Jigawa,33,3,Treatment,121,3,.3333333333333333,10,7,8.5,3
Round 1 Baseline,Jigawa,33,4,Treatment,121,3,.3333333333333333,5,0,6.5,0
Round 1 Baseline,Jigawa,36,1,Treatment,121,4,.3333333333333333,7,0,10,0
Round 1 Baseline,Jigawa,36,3,Treatment,121,4,.3333333333333333,6,0,2,0
Round 1 Baseline,Jigawa,36,4,Treatment,121,4,.3333333333333333,9,1,.5,0
Round 1 Baseline,Jigawa,39,1,Control,120,4,.3333333333333333,7,1,7.5,2
Round 1 Baseline,Jigawa,39,2,Control,120,4,.3333333333333333,3,6,3.5,0
Round 1 Baseline,Jigawa,39,3,Control,120,4,.3333333333333333,6,9,4.5,3
Round 1 Baseline,Jigawa,40,1,Control,120,3,.3333333333333333,4,15,16,8
Round 1 Baseline,Jigawa,40,2,Control,120,3,.3333333333333333,7,9,8,5
Round 1 Baseline,Jigawa,40,3,Control,120,3,.3333333333333333,7,9,9.5,3
Round 1 Baseline,Jigawa,40,4,Control,120,3,.3333333333333333,10,1,2.5,0
Round 1 Baseline,Jigawa,42,2,Control,120,6,.3333333333333333,7,0,6,8
Round 1 Baseline,Jigawa,42,3,Control,120,6,.3333333333333333,3,5,0,3
Round 1 Baseline,Jigawa,43,1,Control,120,3,.3333333333333333,9,2,10,8
Round 1 Baseline,Jigawa,43,2,Control,120,3,.3333333333333333,11,5,5.5,4
Round 1 Baseline,Jigawa,43,3,Control,120,3,.3333333333333333,11,7,8,2
Round 1 Baseline,Jigawa,43,4,Control,120,3,.3333333333333333,10,6,7,4
Round 1 Baseline,Jigawa,52,1,Treatment,131,3,.3333333333333333,16,7,16.5,9
Round 1 Baseline,Jigawa,52,2,Treatment,131,3,.3333333333333333,15,0,10,0
Round 1 Baseline,Jigawa,52,3,Treatment,131,3,.3333333333333333,14,2,10.5,0
Round 1 Baseline,Jigawa,52,4,Treatment,131,3,.3333333333333333,13,1,12.5,0
Round 1 Baseline,Jigawa,53,1,Treatment,131,3,.3333333333333333,12,2,5,8
Round 1 Baseline,Jigawa,53,2,Treatment,131,3,.3333333333333333,10,2,5.5,6
Round 1 Baseline,Jigawa,53,3,Treatment,131,3,.3333333333333333,10,4,4.5,3
Round 1 Baseline,Jigawa,53,4,Treatment,131,3,.3333333333333333,12,7,5,9
Round 1 Baseline,Jigawa,55,1,Treatment,131,3,.3333333333333333,11,5,18,8
Round 1 Baseline,Jigawa,55,2,Treatment,131,3,.3333333333333333,12,5,4.5,3
Round 1 Baseline,Jigawa,55,3,Treatment,131,3,.3333333333333333,12,5,4.5,3
Round 1 Baseline,Jigawa,55,4,Treatment,131,3,.3333333333333333,13,1,5.5,4
Round 1 Baseline,Jigawa,59,1,Treatment,131,3,.3333333333333333,12,5,9,0
Round 1 Baseline,Jigawa,59,2,Treatment,131,3,.3333333333333333,11,6,4,2
Round 1 Baseline,Jigawa,59,3,Treatment,131,3,.3333333333333333,14,6,18,0
Round 1 Baseline,Jigawa,59,4,Treatment,131,3,.3333333333333333,10,5,7.5,0
Round 1 Baseline,Jigawa,65,1,Control,130,22,.1818181818181818,17,7,7,11
Round 1 Baseline,Jigawa,69,1,Control,130,5.5,.1818181818181818,10,0,9,8
Round 1 Baseline,Jigawa,69,2,Control,130,5.5,.1818181818181818,10,3,5,1
Round 1 Baseline,Jigawa,69,3,Control,130,5.5,.1818181818181818,14,9,14,3
Round 1 Baseline,Jigawa,69,4,Control,130,5.5,.1818181818181818,14,5,14,2
Round 1 Baseline,Jigawa,76,2,Treatment,141,4,.3333333333333333,14,6,8,4
Round 1 Baseline,Jigawa,76,3,Treatment,141,4,.3333333333333333,6,5,9.5,0
Round 1 Baseline,Jigawa,76,4,Treatment,141,4,.3333333333333333,18,6,12.5,5
Round 1 Baseline,Jigawa,78,1,Treatment,141,6,.3333333333333333,7,3,3.5,0
Round 1 Baseline,Jigawa,78,2,Treatment,141,6,.3333333333333333,7,5,1.5,0
Round 1 Baseline,Jigawa,80,1,Treatment,141,12,.3333333333333333,7,1,2.5,3
Round 1 Baseline,Jigawa,86,3,Control,140,11,.3636363636363637,6,0,0,0
Round 1 Baseline,Jigawa,88,1,Control,140,2.75,.3636363636363637,11,5,8,3
Round 1 Baseline,Jigawa,88,2,Control,140,2.75,.3636363636363637,19,5,10,8
Round 1 Baseline,Jigawa,88,3,Control,140,2.75,.3636363636363637,17,10,20,4
Round 1 Baseline,Jigawa,88,4,Control,140,2.75,.3636363636363637,11,5,6.5,0
Round 1 Baseline,Jigawa,96,1,Control,140,5.5,.3636363636363637,7,1,2.5,0
Round 1 Baseline,Jigawa,96,2,Control,140,5.5,.3636363636363637,3,0,2,0
Round 1 Baseline,Jigawa,100,1,Treatment,151,3,.3333333333333333,14,9,6,14
Round 1 Baseline,Jigawa,100,2,Treatment,151,3,.3333333333333333,13,7,4.5,9
Round 1 Baseline,Jigawa,100,3,Treatment,151,3,.3333333333333333,14,2,3.5,5
Round 1 Baseline,Jigawa,100,4,Treatment,151,3,.3333333333333333,7,1,6.5,0
Round 1 Baseline,Jigawa,101,1,Treatment,151,3,.3333333333333333,9,7,8.5,5
Round 1 Baseline,Jigawa,101,2,Treatment,151,3,.3333333333333333,19,16,10.5,14
Round 1 Baseline,Jigawa,101,3,Treatment,151,3,.3333333333333333,17,7,11.5,1
Round 1 Baseline,Jigawa,101,4,Treatment,151,3,.3333333333333333,23,15,18.5,3
Round 1 Baseline,Jigawa,105,1,Treatment,151,3,.3333333333333333,13,13,9.5,12
Round 1 Baseline,Jigawa,105,2,Treatment,151,3,.3333333333333333,17,14,8.5,12
Round 1 Baseline,Jigawa,105,3,Treatment,151,3,.3333333333333333,18,7,8.5,15
Round 1 Baseline,Jigawa,105,4,Treatment,151,3,.3333333333333333,16,9,12,11
