"surveywave","state_id","school_id","n_pup_id","pupil_id","treatment","n_panel_pup_wt","strata","fpc_school","fpc_pupil","n_panel_pup","outcome_pt","n_att_reason_pt","consent","able_to_hear","able_to_speak","Sex","Grade","Age","language","language_other","able_to_see","able_to_write","E1_EXAMPLE","E1A","E1B","E1C","E1D","E2_EXAMPLE","E2A","E2B","E2C","E2D","E13_START","E13A","E17_START","E17A","E17B","E17C","M15A","M16_START","M16A","M16B","M17_START","M17A","S7_START","S7A","S8A","S10_START","S10A","S10B","S10C","S10D","S17_a","S17_b","S17_c","S17_d","S17_e","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B11_other","B12","B13_a","B13_b","B13_c","B13_d","B13_e","B13_w","B13_y","B14A","B14B","B14C","B14D","B14E","B15","B16","B17","B18","B19","B20","B21A","B21B","B23","B24","B25","B26","B27A","B27B","B30","B31","B31A","B31B","n_E_raw_p","n_E_max_p","n_E_pc_p","n_M_raw_p","n_M_max_p","n_M_pc_p","n_S_raw_p","n_S_max_p","n_S_pc_p","n_E_wpm","n_E_dog","n_M_add_3_digit","n_M_add_3_digit_carry","n_M_three_quarters","n_M_multiply","n_S_magnet"
2,1,1,11,1,1,,,,,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,1,12,2,1,,,,,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,1,13,3,1,2.20285487174988,111,0.333333343267441,0.0588235294117647,1,1,,1,1,1,2,4,12,6,,1,1,1,2,2,2,2,1,1,2,2,1,1,2,2,,,,1,1,2,2,1,1,1,1,1,1,2,1,2,1,2,2,1,2,2,12,4,2,1,1,4,1,1,2,1,,2,2,2,2,2,2,1,2,,,,,,2,1,1,,1,1,1,1,1,,1,1,1,1,,,,,8.19999980926514,49,16.7346935272217,11,29,37.9310340881348,27,50,54,1,0,0,0,100,100,100
2,1,1,14,4,1,2.20285487174988,111,0.333333343267441,0.0588235294117647,1,1,,1,1,1,1,4,12,6,,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,14,4,1,1,3,3,1,1,1,,,2,2,1,2,1,1,2,2,,8,,2,2,5,1,1,,1,1,1,1,1,,1,1,1,1,,,,,35.5999984741211,49,72.6530609130859,23,29,79.3103485107422,40,50,80,23,0,100,100,100,100,100
2,1,1,15,5,1,2.20285487174988,111,0.333333343267441,0.0588235294117647,1,1,,1,1,1,2,4,11,6,,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,8,6,1,1,2,4,2,1,2,1,,2,2,2,2,2,1,2,2,,,,,10,2,1,1,,1,1,1,1,1,,1,1,1,1,,,,,29.2000007629395,49,59.5918388366699,22,29,75.8620681762695,41,50,82,16,100,100,100,0,100,100
2,1,1,16,6,1,2.20285487174988,111,0.333333343267441,0.0588235294117647,1,1,,1,1,1,2,4,11,6,,1,1,1,1,3,3,1,1,1,2,1,1,1,2,2,,,,2,1,2,2,1,2,1,3,2,1,1,1,2,2,2,2,1,1,2,12,4,1,2,,4,1,1,2,1,,2,2,2,2,2,2,1,2,,,,,,3,1,2,2,,,,,1,,1,1,1,1,,,,,13.1999998092651,49,26.9387760162354,8,29,27.5862064361572,29,50,58,11,0,0,0,0,0,0
2,1,1,17,7,1,2.20285487174988,111,0.333333343267441,0.0588235294117647,1,1,,1,1,1,1,3,12,6,,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,,,,2,1,1,2,1,2,1,3,3,1,1,1,2,1,2,2,2,2,1,16,7,1,2,,4,1,1,2,1,,2,1,1,2,2,2,2,2,2,2,,,,4,1,1,,1,2,2,1,1,,1,1,1,1,,,,,10.1999998092651,49,20.8163261413574,10,29,34.4827575683594,22,50,44,1,0,100,0,0,0,0
2,1,1,18,8,1,2.20285487174988,111,0.333333343267441,0.0588235294117647,1,1,,1,1,1,2,4,10,6,,1,1,1,1,2,2,1,1,2,1,1,1,1,2,2,,,,1,1,2,2,1,2,1,1,1,1,2,1,1,2,1,2,2,2,2,10,5,1,1,3,4,1,1,2,1,,2,1,2,1,1,1,2,2,-8,,-8,-8,11,6,1,1,,1,1,1,1,1,,1,1,1,1,,,,,14.8000001907349,49,30.2040824890137,8,29,27.5862064361572,26,50,52,4,0,0,0,100,0,100
2,1,4,41,1,1,0.374854624271393,111,0.333333343267441,0.259259259259259,1,1,,1,1,1,2,4,10,6,,1,1,1,2,3,2,1,1,1,1,1,1,1,2,2,,,,1,1,2,2,1,2,1,3,2,1,2,1,1,2,2,2,2,2,1,25,5,2,1,2,3,1,1,2,1,,1,1,2,1,2,1,2,2,3,,10,,5,6,1,1,,-8,,1,1,1,,1,1,1,1,,,,,13,49,26.5306129455566,11,29,37.9310340881348,27,50,54,0,0,0,0,100,0,0
2,1,4,42,2,1,0.374854624271393,111,0.333333343267441,0.259259259259259,1,1,,1,1,1,2,4,11,6,,1,1,1,2,2,2,1,1,2,2,2,2,1,1,2,,,,1,1,3,3,1,3,1,1,1,1,1,1,1,1,1,2,2,2,2,29,15,1,1,2,1,1,1,2,1,,2,1,1,1,1,1,2,2,9,4,15,17,40,6,1,1,,-8,,1,1,1,,-8,,1,1,,,,,11,49,22.4489803314209,8,29,27.5862064361572,33,50,66,0,100,0,0,100,0,100
