surveywave,id_state,id_school,id_teacher,treatment,strata,weight_teacher,fpc_school,ti03,ti08,ti08_oth,ti09,ti10,ti11,ti12_01,ti12_02,ti12_03,ti12_04,ti12_05,ti12_06,ti12_07,ti12_08,ti12_09,ti12_10,ti12_11,ti12_othqual,ti12_oth,ti12_dkr,ti13,ti14,ti15,ti16_01,ti16_02,ti16_03,ti16_04,ti16_05,ti16_06,ti16_07,ti16_08,ti16_09,ti16_10,ti16_11,ti16_othrea,ti16_oth,ti17,ti18_01,ti18_02,ti18_03,ti18_04,ti18_05,ti18_06,ti18_07,ti18_08,ti18_09,ti18_10,ti18_11,ti18_othrea,ti18_oth,ti19,ti20a_01_month,ti20a_02_month,ti20a_03_month,ti20a_01_year,ti20a_02_year,ti20a_03_year,ti20b_01_01,ti20b_01_02,ti20b_01_03,ti20b_01_04,ti20b_01_othtop,ti20b_01_oth,ti20b_01_dkr,ti20b_02_01,ti20b_02_02,ti20b_02_03,ti20b_02_04,ti20b_02_othtop,ti20b_02_oth,ti20b_02_dkr,ti20b_03_01,ti20b_03_02,ti20b_03_03,ti20b_03_04,ti20b_03_othtop,ti20b_03_oth,ti20b_03_dkr,ti20c_01_01,ti20c_01_02,ti20c_01_03,ti20c_01_05,ti20c_01_06,ti20c_01_07,ti20c_01_08,ti20c_01_09,ti20c_01_10,ti20c_01_11,ti20c_01_12,ti20c_01_othorg,ti20c_01_oth,ti20c_01_dkr,ti20c_02_01,ti20c_02_02,ti20c_02_03,ti20c_02_05,ti20c_02_06,ti20c_02_07,ti20c_02_08,ti20c_02_09,ti20c_02_10,ti20c_02_11,ti20c_02_12,ti20c_02_othorg,ti20c_02_oth,ti20c_02_dkr,ti20c_03_01,ti20c_03_02,ti20c_03_03,ti20c_03_05,ti20c_03_06,ti20c_03_07,ti20c_03_08,ti20c_03_09,ti20c_03_10,ti20c_03_11,ti20c_03_12,ti20c_03_othorg,ti20c_03_oth,ti20c_03_dkr,ti20d_01,ti20d_01_oth,ti20d_02,ti20d_02_oth,ti20d_03,ti20d_03_oth,ti20e_01,ti20e_02,ti20e_03,ti21,ti22,ti23,ti24,ti25_01,ti25_02,ti25_03,ti25_04,ti25_05,ti25_06,ti26_01,ti26_02,ti26_03,ti26_04,ti26_05,ti26_06,ti26_07,ti26_08,ti26_09,ti26_10,ti26_13,ti26_14,ti26_15,ti26_othsub,ti26_oth,ti27a,ti27b,ti27c,ti27d,ti27e,ti27f,ti27g,ti27h,ti27i,ti27j,ti27k,ti27l,ti27m,ti27n,ti27o,ti27p,ti27q,ti27r,ti27s,ti27t,ti27u,ti27v,ti27w,ti27x,ti27y,ti28,ti29,ti30_01,ti30_02,ti30_03,ti30_04,ti30_05,ti30_06,ti30_07,ti30_08,ti30_09,ti30_10,ti30_11,ti30_12,ti30_13,ti30_othuse,ti30_oth,n_tchabsenteeism_self
Round 1 Baseline,Jigawa,1,2,Treatment,111,3,.3333333333333333,Male,Teacher officially posted/employed in this school,,48,2013,1992,No,No,Yes,No,Yes,No,No,No,No,No,No,No,,No,82000,Always on time,3,No,No,No,No,No,No,No,No,Yes,No,No,No,,No,,,,,,,,,,,,,,Yes,Don't know,,,2014,,,No,Yes,No,No,No,,No,,,,,,,,,,,,,,,No,Yes,No,No,No,No,No,No,No,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LGEA,,,,,,2,,,Yes,3,Yes,Two or more,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Disagree,Strongly agree,Disagree,Disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Yes,"Yes, both audio and video",Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,,60
Round 1 Baseline,Jigawa,1,3,Treatment,111,3,.3333333333333333,Male,Teacher officially posted/employed in this school,,51,2004,1986,No,No,Yes,No,Yes,No,No,No,No,No,No,No,,No,75000,Usually/Mostly on time,0,,,,,,,,,,,,,,Don't know,,,,,,,,,,,,,,Yes,July,June,,2014,2014,,No,Yes,No,No,No,,No,No,No,No,No,Yes,Introduction of TDF programme,No,,,,,,,,No,Yes,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,TDP,No,,,,,,,,,,,,,,,LGEA,,LGEA,,,,3,1,,Yes,3,Yes,Two or more,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,"Yes, both audio and video",Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,,0
Round 1 Baseline,Jigawa,1,4,Treatment,111,3,.3333333333333333,Male,Teacher officially posted/employed in this school,,35,2005,1997,No,No,Yes,No,Yes,No,No,No,No,No,No,No,,No,46000,Always on time,0,,,,,,,,,,,,,,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,,Yes,July,,,2014,,,No,Yes,No,No,No,,No,,,,,,,,,,,,,,,No,Yes,No,No,No,No,No,No,No,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LGEA,,,,,,2,,,Yes,4,Yes,Two or more,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,,Agree,Agree,Agree,Strongly disagree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly disagree,Agree,Disagree,Agree,Strongly agree,Agree,Strongly agree,Disagree,Agree,Strongly agree,Disagree,Agree,Agree,Yes,"Yes, both audio and video",Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,,0
Round 1 Baseline,Jigawa,4,2,Treatment,111,3,.3333333333333333,Male,Teacher officially posted/employed in this school,,45,2011,1992,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,43300,Usually/Mostly on time,0,,,,,,,,,,,,,,No,,,,,,,,,,,,,,Yes,Don't know,,,2013,,,No,Yes,No,No,No,,No,,,,,,,,,,,,,,,No,Yes,No,No,No,No,No,No,No,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other SUBEB staff,,,,,,3,,,Yes,2,Yes,Two or more,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,Agree,Agree,Strongly disagree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Yes,"Yes, both audio and video",Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,,0
Round 1 Baseline,Jigawa,4,3,Treatment,111,3,.3333333333333333,Male,Teacher officially posted/employed in this school,,45,2013,2001,No,No,No,No,Yes,No,No,No,No,No,No,No,,No,75000,Always on time,1,No,No,No,No,Yes,No,No,No,No,No,No,No,,No,,,,,,,,,,,,,,Yes,June,,,2014,,,No,Yes,No,No,No,,No,,,,,,,,,,,,,,,No,Yes,No,No,No,No,No,No,No,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSIT/SSOs/SMOs/SIOs,,,,,,3,,,Yes,3,Yes,Two or more,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Yes,"Yes, both audio and video",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,20
Round 1 Baseline,Jigawa,4,4,Treatment,111,3,.3333333333333333,Male,Teacher officially posted/employed in this school,,30,2012,2006,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,22600,Always on time,0,,,,,,,,,,,,,,No,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,2,Yes,One,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Yes,"Yes, both audio and video",Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,,0
Round 1 Baseline,Jigawa,8,2,Treatment,111,3,.3333333333333333,Male,Teacher officially posted/employed in this school,,38,2011,2004,No,Yes,No,Yes,No,No,No,No,No,No,No,No,,No,Don't know,Usually/Mostly on time,0,,,,,,,,,,,,,,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,,Yes,Don't know,,,2014,,,No,Yes,No,No,No,,No,,,,,,,,,,,,,,,No,Yes,No,Yes,No,No,No,No,No,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSIT/SSOs/SMOs/SIOs,,,,,,3,,,Yes,4,Yes,Two or more,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,Agree,Strongly agree,Disagree,Strongly disagree,Disagree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Yes,"Yes, audio",Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,,0
Round 1 Baseline,Jigawa,8,3,Treatment,111,3,.3333333333333333,Male,Teacher officially posted/employed in this school,,38,2013,2001,No,Yes,No,Yes,No,No,No,No,No,No,No,No,,No,Don't know,Usually/Mostly on time,2,No,No,No,No,Yes,No,No,No,No,No,No,No,,No,,,,,,,,,,,,,,Yes,Don't know,,,2014,,,Yes,No,No,No,No,,No,,,,,,,,,,,,,,,No,Yes,No,Yes,No,No,No,No,No,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSIT/SSOs/SMOs/SIOs,,,,,,1,,,Yes,4,Yes,Two or more,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Disagree,Strongly agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Yes,"Yes, both audio and video",Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,,40
Round 1 Baseline,Jigawa,8,4,Treatment,111,3,.3333333333333333,Male,Teacher officially posted/employed in this school,,49,2003,2001,No,Yes,No,Yes,No,No,No,No,No,No,No,No,,No,Don't know,Usually/Mostly on time,0,,,,,,,,,,,,,,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,4,Yes,Two or more,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Arabic,Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly disagree,Agree,Agree,Agree,Agree,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Disagree,Yes,"Yes, both audio and video",Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,,0
Round 1 Baseline,Jigawa,11,2,Treatment,111,3,.3333333333333333,Male,Teacher officially posted/employed in this school,,47,1997,1997,No,No,Yes,No,Yes,No,No,No,No,No,No,No,,No,Refusal,Usually/Mostly on time,0,,,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,,Yes,July,July,,2014,2013,,Yes,No,No,No,No,,No,Yes,Yes,No,No,No,,No,,,,,,,,No,Yes,No,No,No,No,No,No,No,No,No,No,,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,No,,,,,,,,,,,,,,,SSIT/SSOs/SMOs/SIOs,,SSIT/SSOs/SMOs/SIOs,,,,3,4,,Yes,5,Yes,Two or more,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Yes,"Yes, both audio and video",Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,0
