"surveywave","state_id","school_id","n_teacher_id","teacher_srno","treatment","n_school_wt","strata","fpc_school","A05","A07","A09","A10","n_eligible_teacher","B01","B02","B03","B04","B06","B08","B10","B12","B14","B16"
2,1,1,101,1,1,1.01434421539307,111,0.333333343267441,2,2,2,2,1,1968,2,1,2007,1,1,2,2,2,2
2,1,1,102,2,1,1.01434421539307,111,0.333333343267441,2,2,2,2,1,1975,2,1,2010,1,2,2,2,2,2
2,1,1,103,3,1,1.01434421539307,111,0.333333343267441,2,2,2,2,1,1963,1,1,2009,1,2,2,2,2,2
2,1,1,104,4,1,1.01434421539307,111,0.333333343267441,2,2,2,2,1,1965,1,1,2005,2,2,2,2,2,2
2,1,1,105,5,1,1.01434421539307,111,0.333333343267441,1,,,,2,,,,,,,,,,
2,1,1,106,6,1,1.01434421539307,111,0.333333343267441,2,2,2,2,1,1969,1,1,2013,2,2,2,2,2,2
2,1,1,107,7,1,1.01434421539307,111,0.333333343267441,2,2,2,2,1,1968,2,1,-8,2,2,2,2,2,2
2,1,1,108,8,1,1.01434421539307,111,0.333333343267441,2,2,2,2,1,1975,1,1,-8,2,2,2,2,2,2
2,1,1,109,9,1,1.01434421539307,111,0.333333343267441,2,2,2,2,1,1965,1,1,2014,2,2,2,2,2,2
2,1,1,110,10,1,1.01434421539307,111,0.333333343267441,2,2,2,2,1,1966,2,1,2016,2,2,2,2,2,2
2,1,1,111,11,1,1.01434421539307,111,0.333333343267441,1,,,,2,,,,,,,,,,
2,1,1,112,12,1,1.01434421539307,111,0.333333343267441,2,2,2,2,1,1960,1,1,2014,2,2,2,2,2,2
2,1,1,113,13,1,1.01434421539307,111,0.333333343267441,2,2,2,2,1,1974,1,1,2003,2,2,2,2,2,2
2,1,1,114,14,1,1.01434421539307,111,0.333333343267441,2,2,2,2,1,1970,1,1,2013,2,2,2,2,2,2
2,1,1,115,15,1,1.01434421539307,111,0.333333343267441,2,2,2,2,1,1983,2,1,2007,1,1,2,2,1,2
2,1,1,116,16,1,1.01434421539307,111,0.333333343267441,2,2,2,2,1,1970,1,1,2015,2,2,2,2,2,2
2,1,1,117,17,1,1.01434421539307,111,0.333333343267441,2,2,2,2,1,1986,1,1,2013,2,2,2,2,2,2
2,1,1,118,18,1,1.01434421539307,111,0.333333343267441,2,2,2,2,1,1984,2,1,2014,2,2,2,2,2,2
2,1,1,119,19,1,1.01434421539307,111,0.333333343267441,2,2,2,2,1,1981,2,1,2010,2,2,2,2,2,2
2,1,1,120,20,1,1.01434421539307,111,0.333333343267441,2,2,2,2,1,1976,2,1,2015,2,2,2,2,2,2
2,1,1,121,21,1,1.01434421539307,111,0.333333343267441,2,2,2,2,1,1975,2,1,2015,2,2,2,2,2,2
2,1,1,122,22,1,1.01434421539307,111,0.333333343267441,2,1,,,2,,,,,,,,,,
2,1,1,123,23,1,1.01434421539307,111,0.333333343267441,2,1,,,2,,,,,,,,,,
2,1,1,124,24,1,1.01434421539307,111,0.333333343267441,1,,,,2,,,,,,,,,,
2,1,1,125,25,1,1.01434421539307,111,0.333333343267441,2,2,2,2,1,1974,2,2,2016,2,2,2,2,2,2
2,1,1,126,26,1,1.01434421539307,111,0.333333343267441,2,1,,,2,,,,,,,,,,
2,1,1,127,27,1,1.01434421539307,111,0.333333343267441,2,2,2,2,1,1992,2,2,2013,2,2,2,2,2,2
2,1,1,128,28,1,1.01434421539307,111,0.333333343267441,2,2,2,2,1,1981,2,2,2016,2,2,2,2,2,2
2,1,1,129,29,1,1.01434421539307,111,0.333333343267441,2,2,2,2,1,1985,2,2,-8,2,2,2,2,2,2
2,1,1,130,30,1,1.01434421539307,111,0.333333343267441,2,2,2,2,1,1973,1,2,2016,2,2,2,2,2,2
2,1,1,131,31,1,1.01434421539307,111,0.333333343267441,1,,,,2,,,,,,,,,,
2,1,1,132,32,1,1.01434421539307,111,0.333333343267441,2,2,2,2,1,1989,1,1,2016,2,2,2,2,2,2
2,1,1,133,33,1,1.01434421539307,111,0.333333343267441,2,2,2,2,1,1992,1,1,2016,2,2,2,2,2,2
2,1,1,134,34,1,1.01434421539307,111,0.333333343267441,2,2,2,2,1,-8,1,1,2016,2,2,2,2,2,2
2,1,1,135,35,1,1.01434421539307,111,0.333333343267441,2,2,2,2,1,-8,1,1,2016,2,2,2,2,2,2
2,1,4,401,1,1,1.01434421539307,111,0.333333343267441,2,2,2,2,1,1961,2,1,2014,2,2,2,2,2,2
2,1,4,402,2,1,1.01434421539307,111,0.333333343267441,2,2,2,2,1,1959,2,1,2014,1,1,1,2,1,2
2,1,4,403,3,1,1.01434421539307,111,0.333333343267441,2,2,2,2,1,1963,1,1,2014,1,1,2,2,1,2
2,1,4,404,4,1,1.01434421539307,111,0.333333343267441,2,2,2,2,1,1962,2,1,2012,2,2,2,2,2,2
2,1,4,405,5,1,1.01434421539307,111,0.333333343267441,2,2,2,2,1,1978,2,1,2000,2,2,2,2,2,2
2,1,4,406,6,1,1.01434421539307,111,0.333333343267441,2,2,2,2,1,1995,2,1,2016,2,2,2,2,2,2
2,1,4,407,7,1,1.01434421539307,111,0.333333343267441,2,2,2,2,1,1994,2,1,2016,2,2,2,2,2,2
